College,Tuition (in-state),Tuition (out-of-state),Room & Board
Adelphi University,38657.00,,15527.00
Agnes Scott College,54007.00,,12449.00
Albany College of Pharmacy,34154.00,,11274.00
Albertus Magnus College,32386.00,,13520.00
Alfred University,32525.00,,12763.00
Allegheny College,44169.00,,11617.00
American International College,35680.00,,14100.00
American University,48187.00,,16100.00
Amherst College,70260.00,,0.00
Andrews University,29573.00,,8713.00
Anna Maria College,37860.00,,14230.00
Arcadia University,42557.00,,14040.00
Arizona State University,11224.00,28467.00,11841.00
Assumption College,40958.00,,12293.00
Auburn University,11407.00,30826.00,13865.00
Ave Maria University,20769.00,,11300.00
Babson College,51104.00,,16312.00
Bard College,54680.00,,15488.00
Barnard College,52917.00,,16744.00
Barry University,29952.00,,11024.00
Barton College,31198.00,,10250.00
Bates College,54000.00,,15000.00
Bay Path University,34899.00,,13311.00
Baylor University,42842.00,,13560.00
Becker College,39475.00,,13800.00
Belmont University,34133.00,,11336.00
Bennington College,53997.00,,15642.00
Bentley University,49880.00,,16340.00
Berklee College of Music,44460.00,,18907.00
Bethel University,37658.00,,10754.00
Biola University,39986.00,,10648.00
Bluffton University,32939.00,,10903.00
Boston College,56001.00,,14142.00
Boston University,53948.00,,15720.00
Bowdoin College,53922.00,,14697.00
Brandeis University,55040.00,,15142.00
Bridgewater State University,10568.00,16954.00,13069.00
Brigham Young University,11357.00,,8296.00
Brown University,55556.00,,14670.00
Bryant University,43973.00,,15702.00
Bryn Mawr College,53180.00,,16500.00
Bucknell University,56145.00,,13676.00
Butler University,41454.00,,13551.00
California Institute of Arts,49276.00,,17000.00
California Polytechnic State University San Luis Obispo,9809.00,22164.00,13641.00
Calvin College,34424.00,,10390.00
Carnegie Mellon University,55765.00,,14335.00
Case Western Reserve University,49400.00,,15375.00
Castleton State College,12449.00,28862.00,10702.00
Catholic University of America,45804.00,,14650.00
Cedarville University,30322.00,,7372.00
Central Connecticut State University,10591.00,23789.00,12913.00
Centre College,52707.00,,0.00
Champlain College,41411.00,,15502.00
Chapman University,52472.00,,5207.00
Claremont McKenna College,54692.00,,16869.00
Clark Atlanta University,22768.00,,8776.00
Clark University,46176.00,,9843.00
Clarkson University,49444.00,,15222.00
Clemson University,,36058.00,9595.00
Coastal Carolina University,11648.00,26907.00,9506.00
Colby College,69451.00,,0.00
Colby-Sawyer College,42398.00,,14264.00
Colgate University,56139.00,,14061.00
College of Charleston,12478.00,31601.00,11845.00
College of Mount Saint Vincent,38584.00,,9880.00
College of New Jersey,16794.00,28680.00,13728.00
College of New Rochelle,38083.00,,14701.00
College of Saint Rose,32920.00,,12850.00
College of the Atlantic,45284.00,,10137.00
College of the Holy Cross,52770.00,,14520.00
College of William and Mary,22926.00,45417.00,12271.00
College of Wooster,50544.00,,11856.00
Colorado College,54931.00,,12559.00
Colorado School of Mines,19745.00,38933.00,12373.00
Colorado State University,12097.00,30306.00,12696.00
Columbia College (Chicago),26603.00,,13368.00
Columbia University,56684.00,,14754.00
Concordia College New York,32864.00,,12351.00
Connecticut College,70138.00,,0.00
Cornell College,42526.00,,9474.00
Cornell University,36902.00,54967.00,14903.00
Culinary Institute of America,32880.00,,11305.00
Curry College,40140.00,,15324.00
Dartmouth College,55068.00,,15765.00
Davidson College,51947.00,,14512.00
Dean College,39614.00,,17000.00
Delaware State University,7320.00,17287.00,11890.00
Denison University,51960.00,,12710.00
DePaul University,39946.00,,17100.00
DePauw University,49752.00,,13116.00
DeSales University,37544.00,,13312.00
Dickinson College,54636.00,,13698.00
Drew University,48840.00,,13828.00
Drexel University,53279.00,,14079.00
Duke University,55894.00,,16120.00
Duquesne University,37850.00,,12599.00
Earlham College,47580.00,,10317.00
East Carolina University,7429.00,24357.00,10228.00
Eastern Connecticut State University,11356.00,24552.00,13530.00
Eastern Nazarene College,33051.00,,9707.00
Eastern University,33363.00,,11419.00
Eastern Washington University,7229.00,24277.00,11383.00
Eckerd College,44766.00,,12648.00
Elmira College,43576.00,,12480.00
Elms College,35788.00,,13108.00
Elon University,35644.00,,12344.00
Embry Riddle Aeronautical University,34461.00,,11544.00
Emerson College,46852.00,,17690.00
Emmanuel College,39804.00,,14994.00
Emory University,51368.00,,14450.00
Endicott College,33050.00,,15276.00
Fairfield University,48650.00,,14710.00
Fairleigh Dickinson University-Teaneck,39955.00,,13609.00
Fashion Institute of Technology,7760.00,21823.00,14503.00
Fisher College,31771.00,,16919.00
Fitchburg State University,10580.00,16903.00,10962.00
Florida Atlantic University,5649.00,20209.00,12382.00
Florida Gulf Coast University,6363.00,26167.00,10059.00
Florida Institute of Technology,38376.00,,11523.00
Florida Southern College,36165.00,,11652.00
Florida State University,6777.00,22550.00,11043.00
Fordham University,52128.00,,16770.00
Framingham State University,10317.00,16640.00,12126.00
Franciscan University of Steubenville,27487.00,,8736.00
Franklin and Marshall College,56451.00,,14132.00
